499 {'ptime': 1665410400, 'popen': 19315.02, 'phigh': 19341.48, 'plow': 19291.77, 'pclose': 19327.9, 'ma7': 0, 'ma25': 0, 'ma99': 0, 'below': False, 'above': True} 19114.24 19134.63
450 {'ptime': 1665816300, 'popen': 19172.2, 'phigh': 19181.52, 'plow': 19160.35, 'pclose': 19168.2, 'ma7': 19171.60714285714, 'ma25': 19183.5352, 'ma99': 19374.26595959596, 'below': False, 'above': False} 19037.39 19199.0
449 {'ptime': 1665815400, 'popen': 19178.9, 'phigh': 19185.54, 'plow': 19169.41, 'pclose': 19172.2, 'ma7': 19173.844285714287, 'ma25': 19184.9548, 'ma99': 19380.647878787877, 'below': False, 'above': False} 19037.39 19199.0
448 {'ptime': 1665814500, 'popen': 19163.72, 'phigh': 19187.09, 'plow': 19157.96, 'pclose': 19178.9, 'ma7': 19175.067142857144, 'ma25': 19186.230399999997, 'ma99': 19387.14090909091, 'below': True, 'above': False} 19037.39 19199.0
447 {'ptime': 1665813600, 'popen': 19175.92, 'phigh': 19187.2, 'plow': 19161.0, 'pclose': 19163.22, 'ma7': 19177.967142857142, 'ma25': 19186.7588, 'ma99': 19393.642525252522, 'below': True, 'above': False} 19037.39 19199.0
446 {'ptime': 1665812700, 'popen': 19171.38, 'phigh': 19179.53, 'plow': 19163.13, 'pclose': 19175.92, 'ma7': 19181.397142857146, 'ma25': 19187.375600000003, 'ma99': 19400.093636363636, 'below': True, 'above': False} 19037.39 19199.0
445 {'ptime': 1665811800, 'popen': 19176.64, 'phigh': 19178.94, 'plow': 19160.37, 'pclose': 19171.38, 'ma7': 19185.627142857145, 'ma25': 19187.0796, 'ma99': 19406.57686868687, 'below': True, 'above': False} 19037.39 19199.0
444 {'ptime': 1665810900, 'popen': 19162.49, 'phigh': 19185.48, 'plow': 19160.3, 'pclose': 19175.77, 'ma7': 19188.458571428575, 'ma25': 19186.8044, 'ma99': 19413.18353535353, 'below': True, 'above': False} 19037.39 19199.0
443 {'ptime': 1665810000, 'popen': 19187.86, 'phigh': 19194.09, 'plow': 19153.0, 'pclose': 19162.49, 'ma7': 19192.742857142857, 'ma25': 19186.698000000004, 'ma99': 19419.673535353533, 'below': False, 'above': False} 19037.39 19199.0
442 {'ptime': 1665809100, 'popen': 19187.46, 'phigh': 19196.0, 'plow': 19178.52, 'pclose': 19187.86, 'ma7': 19192.105714285713, 'ma25': 19185.624, 'ma99': 19426.16313131313, 'below': False, 'above': False} 19037.39 19199.0
441 {'ptime': 1665808200, 'popen': 19184.02, 'phigh': 19193.99, 'plow': 19177.18, 'pclose': 19188.29, 'ma7': 19193.545714285716, 'ma25': 19183.086000000003, 'ma99': 19432.520606060607, 'below': False, 'above': False} 19037.39 19200.0
